,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
40,Langley,14.82,59.29,10.01,4.82,5.93,3.52,1.76,1.45,1.42,2.29,3.2,3.62,11.89,8.2,14.45,3.54,1.66,4.47,4.2,2.61,3.59,2.03,1.36,11.12,3.15,5.19,12.59,2.43,81.62,2.48,1.39,37.06,1.63,22195.58,15427.03,124.86,0.2,70.32,30.11,0.0,11.12,592.92,6999.75,48.64,36.32,79.41,99.44,1130.25,982.02,2186.39,3025.87,7678.51,5903.48,3816.92,4.51,0,49.1044,-122.5827,British Columbia,117285.0
41,Saanich,11.12,44.47,8.89,5.56,5.93,3.73,1.98,1.77,1.42,2.34,3.52,3.61,8.15,12.78,8.89,3.65,1.27,3.88,4.07,2.67,2.47,2.41,1.88,11.12,2.51,2.73,12.6,1.85,63.0,2.72,1.89,30.88,1.59,23716.79,19371.8,86.47,0.18,70.19,34.83,0.0,10.38,914.08,12955.3,60.16,31.54,80.26,106.05,1482.3,1334.07,2964.6,2223.45,,,,4.36,0,48.484,-123.381,British Columbia,114148.0
42,Moncton,17.79,59.29,7.78,4.82,5.19,3.95,1.64,1.42,2.62,2.64,3.99,3.45,10.92,9.81,8.45,4.97,1.63,4.41,3.31,3.47,4.06,2.58,2.42,13.34,3.09,3.82,14.82,2.13,51.14,2.37,1.96,22.23,1.47,15008.28,17528.19,132.35,0.49,66.05,46.69,9.88,11.12,505.83,,50.65,50.65,70.92,93.88,838.43,680.93,1387.01,1106.02,2001.1,1778.76,2328.88,5.72,1,46.1328,-64.7714,New Brunswick,108620.0
43,Waterloo,12.97,61.14,8.89,5.19,5.56,2.81,1.47,1.15,1.62,2.48,3.36,2.98,13.96,10.19,13.54,2.98,1.19,3.52,2.97,1.94,2.33,1.96,2.03,11.12,2.31,2.41,11.86,2.41,66.7,2.96,1.56,23.72,1.42,20670.67,19615.76,150.35,0.21,46.94,33.72,20.75,9.26,839.97,11117.25,37.52,28.41,72.26,90.58,1223.57,1164.66,1976.4,1692.29,7977.67,,4162.79,4.62,0,43.4667,-80.5167,Ontario,104986.0
44,Delta,12.38,68.56,7.5,4.82,5.93,3.46,1.7,1.24,1.58,1.48,2.59,2.96,,5.93,,3.71,1.48,1.48,2.96,1.48,1.48,1.48,1.48,11.12,,,8.89,2.22,,2.67,1.73,40.76,1.6,19640.47,15490.03,296.46,0.22,54.35,64.23,16.68,8.89,741.15,,49.41,15.93,64.23,84.0,982.02,,,,7295.7,5558.62,,6.54,0,49.0847,-123.0586,British Columbia,102238.0
45,Red Deer,14.82,53.73,8.8,3.71,5.19,3.39,1.48,1.45,1.53,2.24,3.06,2.58,7.22,9.3,9.29,3.67,1.5,3.05,3.56,2.03,2.2,1.74,1.66,14.82,2.79,3.8,11.38,1.85,43.54,2.67,1.45,25.2,1.22,22234.49,22234.49,196.79,0.22,72.26,45.69,29.65,9.63,518.8,,48.09,34.94,72.88,98.11,838.73,752.27,1096.9,914.08,1412.05,1497.5,3097.89,5.24,1,52.2681,-113.8111,Alberta,100418.0
46,Kamloops,14.82,50.03,7.41,4.08,3.89,3.1,1.91,1.17,2.95,2.73,3.41,4.26,8.89,11.86,17.97,3.94,1.37,3.93,2.93,2.29,2.77,2.18,1.36,11.86,2.22,2.25,12.6,1.48,40.02,2.78,1.48,25.2,1.51,27793.12,22327.14,123.3,0.49,66.05,35.95,27.18,10.38,736.87,4817.47,40.76,32.29,68.19,107.47,1089.49,984.08,1931.62,1623.12,5976.37,5434.08,2841.07,5.76,1,50.6761,-120.3408,British Columbia,100046.0
47,Newmarket,16.68,63.66,8.89,4.45,5.19,3.15,1.38,1.17,1.93,2.02,3.26,2.6,7.41,13.52,16.31,2.91,1.28,2.24,2.94,2.72,1.94,1.63,0.94,10.38,2.44,2.78,11.12,3.06,111.17,2.96,1.48,23.72,1.41,18528.74,19516.94,193.04,0.37,65.51,33.35,25.94,11.12,1651.53,35767.89,40.76,43.23,80.54,85.23,1642.88,1544.06,2322.27,2019.63,3705.75,2594.02,2421.09,4.69,0,44.05,-79.4667,Ontario,84224.0
48,White Rock,14.82,51.88,7.78,4.45,5.19,3.15,1.66,1.18,1.92,2.32,3.71,3.6,13.73,13.73,24.87,2.81,1.96,2.96,2.15,1.48,1.11,1.47,2.34,13.34,1.48,2.11,11.86,1.82,87.46,2.33,1.62,28.96,1.64,16860.42,18182.13,107.47,0.19,55.59,73.02,24.9,10.38,555.49,,51.73,33.35,85.08,88.94,1806.55,1445.24,3557.52,2223.45,,,1926.99,7.67,0,49.025,-122.8028,British Columbia,82368.0
49,Brantford,16.68,66.7,9.26,5.0,5.93,3.09,1.71,1.5,2.08,2.1,2.28,2.7,8.62,8.32,9.63,2.39,1.28,2.35,1.11,3.04,1.65,1.9,1.98,11.86,2.14,3.26,12.45,2.22,111.17,2.59,2.37,22.23,1.47,21493.34,14081.85,124.15,0.17,54.57,35.76,,9.26,815.26,16675.87,44.96,33.35,65.78,82.51,963.49,1074.67,1926.99,2371.68,,,1852.87,6.21,0,43.1667,-80.25,Ontario,97496.0
