"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Norman's Cove-Long Cove","2021A00051001285","Population, 2021","","0","units","0","","65.1","647","","","","0"
"2021","North River","2021A00051001426","Population, 2021","","0","units","0","","66.1","579","","","","0"
"2021","Old Perlican","2021A00051001343","Population, 2021","","0","units","0","","67.1","608","","","","0"
"2021","Paradise","2021A00051001517","Population, 2021","","0","units","0","","68.1","22957","","","","0"
"2021","Petty Harbour-Maddox Cove","2021A00051001551","Population, 2021","","0","units","0","","69.1","947","","","","0"
"2021","Placentia","2021A00051001240","Population, 2021","","0","units","0","","70.1","3289","","","","0"
"2021","Point Lance","2021A00051001225","Population, 2021","","0","units","0","","71.1","87","","","","0"
"2021","Port Kirwan","2021A00051001140","Population, 2021","","0","units","0","","72.1","49","","","","0"
"2021","Portugal Cove South","2021A00051001105","Population, 2021","","0","units","0","","73.1","86","","","","0"
"2021","Portugal Cove-St. Philip's","2021A00051001504","Population, 2021","","0","units","0","","74.1","8415","","","","0"
"2021","Pouch Cove","2021A00051001505","Population, 2021","","0","units","0","","75.1","2063","","","","0"
"2021","Renews-Cappahayden","2021A00051001131","Population, 2021","","0","units","0","","76.1","280","","","","0"
"2021","Riverhead","2021A00051001181","Population, 2021","","0","units","0","","77.1","165","","","","0"
"2021","Salmon Cove","2021A00051001361","Population, 2021","","0","units","0","","78.1","764","","","","0"
"2021","Small Point-Adam's Cove-Blackhead-Broad Cove","2021A00051001352","Population, 2021","","0","units","0","","79.1","414","","","","0"
"2021","South River","2021A00051001434","Population, 2021","","0","units","0","","80.1","674","","","","0"
"2021","Southern Harbour","2021A00051001267","Population, 2021","","0","units","0","","81.1","313","","","","0"
"2021","Spaniard's Bay","2021A00051001396","Population, 2021","","0","units","0","","82.1","2630","","","","0"
"2021","St. Bride's","2021A00051001228","Population, 2021","","0","units","0","","83.1","318","","","","0"
"2021","St. John's","2021A00051001519","Population, 2021","","0","units","0","","84.1","110525","","","","0"
"2021","St. Joseph's","2021A00051001192","Population, 2021","","0","units","0","","85.1","86","","","","0"
"2021","St. Mary's","2021A00051001178","Population, 2021","","0","units","0","","86.1","313","","","","0"
"2021","St. Shott's","2021A00051001120","Population, 2021","","0","units","0","","87.1","55","","","","0"
"2021","St. Vincent's-St. Stephen's-Peter's River","2021A00051001169","Population, 2021","","0","units","0","","88.1","263","","","","0"
"2021","Sunnyside","2021A00051001277","Population, 2021","","0","units","0","","89.1","407","","","","0"
"2021","Torbay","2021A00051001509","Population, 2021","","0","units","0","","90.1","7852","","","","0"
"2021","Trepassey","2021A00051001113","Population, 2021","","0","units","0","","91.1","405","","","","0"
"2021","Upper Island Cove","2021A00051001385","Population, 2021","","0","units","0","","92.1","1401","","","","0"
